GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj
gene-PA0519	11405.3496783196	-3.827652947885	0.0880344041301597	-43.4790578263673	0	0
gene-PA1249	15486.3504902289	5.28895808632469	0.11315747750053	46.7398019392921	0	0
gene-PA3126	9874.78679137405	-4.73967663551288	0.124667460075425	-38.018554582289	0	0
gene-PA3391	2288.98650511837	-5.24416970101661	0.136669602048771	-38.3711492709637	0	0
gene-PA2019	1867.27551964775	-5.57985649151193	0.151833301094389	-36.7498859031139	1.16751778340884e-295	1.07645139630295e-292
gene-PA2018	2395.09642001759	-3.73952569748764	0.105755692230913	-35.360041796356	7.02774294322307e-274	5.39964916137639e-271
gene-PA4306	3291.30298876865	3.94249205378961	0.115149025093685	34.2381713660365	6.5416924169627e-257	4.308171720314e-254
gene-PA0525	1286.77987437362	-4.71977964125267	0.149733466663955	-31.5212072919225	4.44971410579303e-218	2.56414775346324e-215
gene-PA4236	10499.3763115011	3.21577870393058	0.103126857477013	31.1827469837077	1.82592732011748e-213	9.35280549526841e-211
gene-PA3230	1656.94949081304	3.39284615226086	0.10934673164213	31.0283270593307	2.23711402876874e-211	1.03130956726239e-208
gene-PA2493	1624.53666141611	3.07051914276009	0.10425933931167	29.4507826639987	1.23023650927671e-190	5.15580937069602e-188
gene-PA4623	724.924446827801	3.44194119343063	0.119849207413064	28.7189316285413	2.21406058261874e-181	8.50568273822699e-179
gene-PA2494	2211.29459734597	2.9857653688265	0.109909391790733	27.1656982190511	1.65220088113877e-162	5.85895850926904e-160
gene-PA1596	5540.52945215579	-2.78063798449788	0.102902751511833	-27.021998378519	8.15143751549258e-161	2.68415192474434e-158
gene-PA3229	9441.01623883546	4.85716169759675	0.180926767494549	26.8460093819069	9.38984362308964e-159	2.88581194016288e-156
gene-PA0586	6284.99431986665	4.26554794058438	0.161037184703404	26.4879689025898	1.33369569264651e-154	3.84271071443776e-152
gene-PA3392	1090.49048232541	-3.85273380553545	0.148107614075304	-26.0130704933006	3.52329894991081e-149	9.55435774064048e-147
gene-PA0175	728.798218556183	4.17401973114139	0.162413550736744	25.6999475241266	1.17046190883591e-145	2.99768299985197e-143
