GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-Value	P-adj	gene-PA0001	locus_tag=PA0001
gene-PA0523	3209.355835	-6.064449659	0.641118018	-9.459178328	3.10E-21	2.23E-20	gene-PA0523	locus_tag=PA0523
gene-PA2019	1867.27552	-5.579856492	0.151833301	-36.7498859	1.17E-295	1.08E-292	gene-PA2019	product=multidrug efflux lipoprotein
gene-PA3391	2288.986505	-5.244169701	0.136669602	-38.37114927	0	0	gene-PA3391	locus_tag=PA3391
gene-PA3126	9874.786791	-4.739676636	0.12466746	-38.01855458	0	0	gene-PA3126	locus_tag=PA3126
gene-PA0525	1286.779874	-4.719779641	0.149733467	-31.52120729	4.45E-218	2.56E-215	gene-PA0525	product=denitrification protein NorD
gene-PA1286	292.2419944	-4.607712067	0.243300529	-18.93835616	5.51E-80	2.85E-78	gene-PA1286	product=major facilitator superfamily transporter
gene-PA1343	874.2471746	-4.52245249	0.219616172	-20.59252944	3.20E-94	2.31E-92	gene-PA1343	product=hypothetical protein
gene-PA1240	530.3350599	-4.506680357	0.477339806	-9.441241439	3.68E-21	2.63E-20	gene-PA1240	product=enoyl-CoA hydratase
gene-PA3990	1016.183359	-4.417343564	0.177635361	-24.86747873	1.67E-136	3.09E-134	gene-PA3990	product=hypothetical protein
gene-PA3720	291.6822702	-4.144756258	0.258123761	-16.05724415	5.09E-58	1.51E-56	gene-PA3720	product=hypothetical protein
gene-PA0176	7306.814341	3.918955068	0.315267904	12.43055516	1.78E-35	2.57E-34	gene-PA0176	locus_tag=PA0176
gene-PA4306	3291.302989	3.942492054	0.115149025	34.23817137	6.54E-257	4.31E-254	gene-PA4306	locus_tag=PA4306
gene-PA0177	1553.968824	4.018965415	0.362339393	11.09171536	1.38E-28	1.46E-27	gene-PA0177	product=purine-binding chemotaxis protein
gene-PA3049	29129.92864	4.118026301	0.185126314	22.24441366	1.28E-109	1.40E-107	gene-PA3049	locus_tag=PA3049
gene-PA4738	13091.30815	4.130259344	0.217874988	18.95701469	3.86E-80	2.05E-78	gene-PA4738	product=hypothetical protein
gene-PA4739	19657.51864	4.144575436	0.309294979	13.40007347	6.04E-41	1.03E-39	gene-PA4739	product=hypothetical protein
gene-PA0175	728.7982186	4.174019731	0.162413551	25.69994752	1.17E-145	3.00E-143	gene-PA0175	product=chemotaxis protein methyltransferase
gene-PA0586	6284.99432	4.265547941	0.161037185	26.4879689	1.33E-154	3.84E-152	gene-PA0586	product=hypothetical protein
gene-PA3229	9441.016239	4.857161698	0.180926767	26.84600938	9.39E-159	2.89E-156	gene-PA3229	product=hypothetical protein
gene-PA1249	15486.35049	5.288958086	0.113157478	46.73980194	0	0	gene-PA1249	locus_tag=PA1249
